media   media   robot   robot   robot   side/   ret    size     status/
 ID     type    type      #     slot    face    level  KBytes    multiplexed
----------------------------------------------------------------------------
7year_backup pool

RD0681	HCART3  NONE	  -	   -	  -	 3* 1828230413	ACTIVE/MPX
RD0692	HCART3  NONE	  -	   -	  -	 13   52369027	ACTIVE/MPX
RD0713	HCART3  NONE	  -	   -	  -	 13 1609739490	ACTIVE/MPX
RG0167	HCART3  NONE	  -	   -	  -	 13  942689441	ACTIVE/MPX
RG0774	HCART3  NONE	  -	   -	  -	 13   37943420	ACTIVE/MPX
RG0952	HCART3  NONE	  -	   -	  -	 13  146319165	ACTIVE/MPX
RG0955	HCART3  NONE	  -	   -	  -	 13 1079460017	ACTIVE/MPX
RGS011	HCART3  NONE	  -	   -	  -	 13   97427967	ACTIVE/MPX
RGS403	HCART3  NONE	  -	   -	  -	 13  226433915	ACTIVE/MPX
RGS423	HCART3   TLD	  9	 141	  -	 13 2644545773	ACTIVE/MPX
RGS425	HCART3   TLD	  9	 138	  -	 13   54235919	ACTIVE/MPX
RGS480	HCART3   TLD	  9	 178	  -	 13  354512851	ACTIVE/MPX
RGS824	HCART3  NONE	  -	   -	  -	 13 3546598470	ACTIVE/MPX
RGT143	HCART3   TLD	  9	  29	  -	 13 1181873650	ACTIVE/MPX
RN0014	HCART3  NONE	  -	   -	  -	 13  148335205	ACTIVE/MPX
RN0372	HCART3  NONE	  -	   -	  -	 13 1421927690	ACTIVE/MPX
RN0472	HCART3  NONE	  -	   -	  -	 13 1904877153	ACTIVE/MPX
RN0482	HCART3  NONE	  -	   -	  -	 13  198011356	ACTIVE/MPX
RN0745	HCART3  NONE	  -	   -	  -	 13 2521736111	ACTIVE/MPX
RN1253	HCART3  NONE	  -	   -	  -	 13    5812603	ACTIVE/MPX
RN1280	HCART3  NONE	  -	   -	  -	 13   16725609	ACTIVE/MPX
RN1376	HCART3  NONE	  -	   -	  -	 13  210942489	ACTIVE/MPX
RN1519	HCART3  NONE	  -	   -	  -	 13  270240375	ACTIVE/MPX
RN1580	HCART3  NONE	  -	   -	  -	 13 1395322391	ACTIVE/MPX
RN1598	HCART3  NONE	  -	   -	  -	 13   21468875	ACTIVE/MPX
RN1792	HCART3  NONE	  -	   -	  -	 13  442168121	ACTIVE/MPX
RN1810	HCART3  NONE	  -	   -	  -	 13  791120009	ACTIVE/MPX
RN1922	HCART3  NONE	  -	   -	  -	 13  135902764	ACTIVE/MPX
RN1933	HCART3  NONE	  -	   -	  -	 13  183686991	ACTIVE/MPX
RNR060	HCART3  NONE	  -	   -	  -	 13  822937923	ACTIVE/MPX
RNR078	HCART3  NONE	  -	   -	  -	 13  223072928	ACTIVE/MPX
RNR139	HCART3  NONE	  -	   -	  -	 13   98627699	ACTIVE/MPX
RNR276	HCART3  NONE	  -	   -	  -	 13 1814282689	ACTIVE/MPX
RNR409	HCART3  NONE	  -	   -	  -	 13 1488943049	ACTIVE/MPX
RNR516	HCART3  NONE	  -	   -	  -	 13  303602329	ACTIVE/MPX
RNR517	HCART3  NONE	  -	   -	  -	 13 1316747979	ACTIVE/MPX
RNR635	HCART3  NONE	  -	   -	  -	 13 1700871602	ACTIVE/MPX
RNR712	HCART3  NONE	  -	   -	  -	 13 1297045482	ACTIVE/MPX
RNR887	HCART3  NONE	  -	   -	  -	 13 8783378586	ACTIVE/MPX
RNS019	HCART3  NONE	  -	   -	  -	 13 3462358246	ACTIVE/MPX
RNS067	HCART3  NONE	  -	   -	  -	 13  352548851	ACTIVE/MPX
RNS306	HCART3  NONE	  -	   -	  -	 13 3281782484	ACTIVE/MPX
RNS454	HCART3   TLD	  8	  82	  -	 13  155765285	ACTIVE/MPX
RNS543	HCART3  NONE	  -	   -	  -	 13 1442427759	ACTIVE/MPX
RNS660	HCART3  NONE	  -	   -	  -	 13 1911045086	ACTIVE/MPX
RNT101	HCART3   TLD	  8	  67	  -	 13   13319708	ACTIVE/MPX
RNT306	HCART3   TLD	  8	  94	  -	 13  473725693	ACTIVE/MPX
RNT313	HCART3   TLD	  8	  47	  -	 13  334361531	ACTIVE/MPX
RNT837	HCART3   TLD	  8	 162	  -	 13 1179220263	ACTIVE/MPX
RNT890	HCART3   TLD	  8	 131	  -	 13 2297712901	ACTIVE/MPX
RCF691	HCART3  NONE	  -	   -	  -	 13  345544192	FULL/SUSPENDED/MPX
RCG793	HCART3  NONE	  -	   -	  -	 13  367885824	FULL/SUSPENDED/MPX
RCJ005	HCART3  NONE	  -	   -	  -	 13  321144568	FULL/SUSPENDED/MPX
RD0522	HCART3  NONE	  -	   -	  -	 13 1275928497	FULL/SUSPENDED/MPX
RD0729	HCART3  NONE	  -	   -	  -	 13 1503149800	FULL/SUSPENDED/MPX
RCB207	HCART3  NONE	  -	   -	  -	 13  115324416	SUSPENDED
RC0404	HCART3  NONE	  -	   -	  -	 13   11177992	SUSPENDED/MPX
RC0405	HCART3  NONE	  -	   -	  -	 13    9430899	SUSPENDED/MPX
RCB547	HCART3  NONE	  -	   -	  -	 13  463860502	SUSPENDED/MPX
RCC652	HCART3  NONE	  -	   -	  -	 13   19127123	SUSPENDED/MPX
RCD255	HCART3  NONE	  -	   -	  -	 13  248742502	SUSPENDED/MPX
RCD269	HCART3  NONE	  -	   -	  -	 13   15596745	SUSPENDED/MPX
